Census Block,Month,Avg. Temperature,Type of Robbery,Probability
3201001008,8,73,AGGRAVATED,0
3201001008,8,73,ARMED,0.028571429
3201001008,8,73,ATTEMPT,0.971428571
3201001008,8,73,STRONGARM - NO WEAPON,0
3201001008,8,73,VEHICULAR HIJACKING,0
3204001036,8,73,AGGRAVATED,0
3204001036,8,73,ARMED,0.028571429
3204001036,8,73,ATTEMPT,0.971428571
3204001036,8,73,STRONGARM - NO WEAPON,0
3204001036,8,73,VEHICULAR HIJACKING,0
8391001064,8,73,AGGRAVATED,0
8391001064,8,73,ARMED,0.028571429
8391001064,8,73,ATTEMPT,0.971428571
8391001064,8,73,STRONGARM - NO WEAPON,0
8391001064,8,73,VEHICULAR HIJACKING,0
8391001049,8,73,AGGRAVATED,0
8391001049,8,73,ARMED,0.028571429
8391001049,8,73,ATTEMPT,0.971428571
8391001049,8,73,STRONGARM - NO WEAPON,0
8391001049,8,73,VEHICULAR HIJACKING,0
3206002005,8,73,AGGRAVATED,0
3206002005,8,73,ARMED,0.028571429
3206002005,8,73,ATTEMPT,0.971428571
3206002005,8,73,STRONGARM - NO WEAPON,0
3206002005,8,73,VEHICULAR HIJACKING,0
3201001017,8,73,AGGRAVATED,0
3201001017,8,73,ARMED,0.028571429
3201001017,8,73,ATTEMPT,0.971428571
3201001017,8,73,STRONGARM - NO WEAPON,0
3201001017,8,73,VEHICULAR HIJACKING,0
8391001034,8,73,AGGRAVATED,0
8391001034,8,73,ARMED,0.028571429
8391001034,8,73,ATTEMPT,0.971428571
8391001034,8,73,STRONGARM - NO WEAPON,0
8391001034,8,73,VEHICULAR HIJACKING,0
3201002030,8,73,AGGRAVATED,0
3201002030,8,73,ARMED,0.028571429
3201002030,8,73,ATTEMPT,0.971428571
3201002030,8,73,STRONGARM - NO WEAPON,0
3201002030,8,73,VEHICULAR HIJACKING,0
8391001038,8,73,AGGRAVATED,0
8391001038,8,73,ARMED,0.028571429
8391001038,8,73,ATTEMPT,0.971428571
8391001038,8,73,STRONGARM - NO WEAPON,0
8391001038,8,73,VEHICULAR HIJACKING,0
8391001102,8,73,AGGRAVATED,0
8391001102,8,73,ARMED,0.028571429
8391001102,8,73,ATTEMPT,0.971428571
8391001102,8,73,STRONGARM - NO WEAPON,0
8391001102,8,73,VEHICULAR HIJACKING,0
8391001045,8,73,AGGRAVATED,0
8391001045,8,73,ARMED,0.028571429
8391001045,8,73,ATTEMPT,0.971428571
8391001045,8,73,STRONGARM - NO WEAPON,0
8391001045,8,73,VEHICULAR HIJACKING,0
8391001033,8,73,AGGRAVATED,0
8391001033,8,73,ARMED,0.028571429
8391001033,8,73,ATTEMPT,0.971428571
8391001033,8,73,STRONGARM - NO WEAPON,0
8391001033,8,73,VEHICULAR HIJACKING,0
8391001096,8,73,AGGRAVATED,0
8391001096,8,73,ARMED,0.028571429
8391001096,8,73,ATTEMPT,0.971428571
8391001096,8,73,STRONGARM - NO WEAPON,0
8391001096,8,73,VEHICULAR HIJACKING,0
3201002021,8,73,AGGRAVATED,0
3201002021,8,73,ARMED,0.028571429
3201002021,8,73,ATTEMPT,0.971428571
3201002021,8,73,STRONGARM - NO WEAPON,0
3201002021,8,73,VEHICULAR HIJACKING,0
8391001093,8,73,AGGRAVATED,0
8391001093,8,73,ARMED,0.028571429
8391001093,8,73,ATTEMPT,0.971428571
8391001093,8,73,STRONGARM - NO WEAPON,0
8391001093,8,73,VEHICULAR HIJACKING,0
8391002046,8,73,AGGRAVATED,0
8391002046,8,73,ARMED,0.028571429
8391002046,8,73,ATTEMPT,0.971428571
8391002046,8,73,STRONGARM - NO WEAPON,0
8391002046,8,73,VEHICULAR HIJACKING,0
3301001007,8,73,AGGRAVATED,0
3301001007,8,73,ARMED,0.028571429
3301001007,8,73,ATTEMPT,0.971428571
3301001007,8,73,STRONGARM - NO WEAPON,0
3301001007,8,73,VEHICULAR HIJACKING,0
3201002034,8,73,AGGRAVATED,0
3201002034,8,73,ARMED,0.028571429
3201002034,8,73,ATTEMPT,0.971428571
3201002034,8,73,STRONGARM - NO WEAPON,0
3201002034,8,73,VEHICULAR HIJACKING,0
8391002013,8,73,AGGRAVATED,0
8391002013,8,73,ARMED,0.028571429
8391002013,8,73,ATTEMPT,0.971428571
8391002013,8,73,STRONGARM - NO WEAPON,0
8391002013,8,73,VEHICULAR HIJACKING,0
8391001056,8,73,AGGRAVATED,0
8391001056,8,73,ARMED,0.028571429
8391001056,8,73,ATTEMPT,0.971428571
8391001056,8,73,STRONGARM - NO WEAPON,0
8391001056,8,73,VEHICULAR HIJACKING,0
